Nama,Harga,Penjual,Kota,Laris,Rating
[ roemah_koenyaheun ] kerupuk mentah kerupuk seblak serba 5000,Rp5.000,Bara Snack Kediri 1,Kediri,3rb+ terjual,5.0
Kylafood Seblak Original,Rp19.125,Cuanki_Bandung,Kab. Bandung,750+ terjual,5.0
KERUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH / KRUPUK BWG 200gr,Rp5.750,Grosir Besar Kalimantan,Banjarbaru,18 terjual,4.8
[ 250gr ] Kerupuk Seblak Kencur Pedas Daun Jeruk / Camilan Snack Murah,Rp7.250,anugrah seblak,Kab. Bandung,750+ terjual,4.5
Kerupuk Seblak Mentah 1kg - Krupuk Oren Matahari Pagi MP - Kemplang,Rp19.000,BUGAR STORE.,Kab. Garut,70+ terjual,5.0
BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,Rp51.771,Brother Meat Shop,Jakarta Selatan,100+ terjual,5.0
"makaroni kriuk 500g pedas extra daun jeruk,cemilan nikmat,seblak,makan",Rp25.000,Sajodo Snack & Food,Tasikmalaya,50+ terjual,4.9
seblak mercon pedas galak,Rp3.500,Distributor Cuanki dan Seblak,Kab. Bekasi,100+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Beauty DELUXE,Jakarta Barat,750+ terjual,4.7
"PAKET BUNDLING 4 ( 1 SEBLAK INSTANT, 1 KEJU AROMA SAJODO)",Rp40.000,AMANA SNACK,Tangerang Selatan,70+ terjual,5.0
Cuanki Lidah 50 pcs topingan seblak baso Aci bakso cuanki,Rp15.000,Ummuchasna,Kab. Magelang,750+ terjual,4.9
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,Rp44.500,ajs(ale jaya snack),Jakarta Utara,30+ terjual,4.7
Cipak Koceak Cirambay Cireng Seblak Basreng Bojot khas tasik camilan,Rp10.000,NomeL Shop,Surabaya,11 terjual,5.0
Krupuk seblak kencur 500gram,Rp12.000,aghniya,Tangerang Selatan,100+ terjual,4.9
KERUPUK jablay bantet/SEBLAK MINI PEDAS 250gram,Rp14.000,kylafood,Bandung,60+ terjual,4.9
MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,Rp2.600,kerudung bunga,Cimahi,4rb+ terjual,5.0
"seblak ceker 1 kg pedas daun jeruk, gurih,cemilan bikin nagih",Rp35.999,basreng sultan bandung viral,Kab. Bandung,60+ terjual,4.9
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",Rp76.000,Aydaa Snack,Surakarta,60+ terjual,4.9
Kerupuk seblak beton as kering cikruh 1 kg bumbu organik pedas gurih,Rp47.500,YasnackID,Bandung,10 terjual,4.9
seblak kerupuk jengkol pedas daun jeruk renyah,Rp20.250,Kenal Jaya Bandung,Bandung,8 terjual,4.8
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Bunda Qiana Store,Bandung,7 terjual,5.0
Yasnack Kerupuk Seblak Rafael Pedas Cikruh Gurih 500 gr,Rp30.000,ajs(ale jaya snack),Jakarta Utara,9 terjual,5.0
Agen Seblak Mommy,Rp9.999,Aris lampu,Kab. Sidoarjo,40+ terjual,5.0
"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",Rp59.000,Lidigeli,Kab. Garut,100+ terjual,4.9
Kylafood Seblak Mie Baso,Rp24.750,AHR Jaya Snack,Jakarta Timur,80+ terjual,4.9
Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,Rp95.000,Foodstocks,Jakarta Selatan,500+ terjual,4.9
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp29.000,ismileusa_id,Kab. Bandung,750+ terjual,4.9
KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,Rp17.248,Golden Cakery,Jakarta Pusat,100+ terjual,5.0
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Pedas Gilaa,Surabaya,1rb+ terjual,4.9
Seblak instan komplit / seblak instan murah,Rp5.000,kylafood,Bandung,3rb+ terjual,4.8
